,county,days_not_enough_sleep,education,employment,gender,general_health,geographic_stratum,hours_slept,income,life_satisfaction,state
355,,177,4,7,2,3,10,8,,1,13
356,,108,3,8,1,5,10,6,,3,13
357,,130,4,1,1,4,10,6,,2,13
358,,188,6,7,1,1,10,8,,1,13
359,,125,3,1,2,4,10,6,,2,13
360,,188,4,1,2,3,14,8,,1,13
361,,103,6,5,2,3,14,8,,2,13
362,,103,2,7,2,5,14,77,,1,13
363,,115,4,7,1,4,14,7,,1,13
364,,103,4,7,2,4,14,8,,1,13
365,,130,5,8,1,5,14,4,,3,13
366,,188,3,7,2,3,14,8,,1,13
367,,388,6,7,2,1,14,8,,1,13
368,,102,3,1,2,2,14,8,,1,13
369,,103,3,7,1,3,14,6,,2,13
370,,488,4,7,2,3,14,8,,2,13
371,,888,5,7,1,4,14,10,,2,13
372,,102,2,8,2,1,11,10,,2,13
373,,120,3,7,2,5,11,6,,3,13
374,,230,5,8,2,5,11,7,,2,13
375,,101,5,8,1,5,11,9,,2,13
376,,188,3,3,1,3,11,13,,1,13
377,,125,5,1,1,3,11,6,,3,13
378,,188,2,5,2,2,11,8,,1,13
379,,320,5,1,2,2,12,7,,3,13
380,,112,3,7,1,5,12,8,,1,13
381,,188,5,7,1,3,12,8,,1,13
382,,108,4,1,1,2,12,7,,3,13
383,,188,4,1,1,3,13,8,,1,13
384,,188,4,7,1,4,11,6,,2,13
385,,101,4,5,2,4,12,8,,2,13
386,,105,5,1,2,3,12,9,,2,13
387,,225,6,1,1,1,13,7,,2,13
388,,188,6,1,2,3,13,10,,1,13
389,,188,4,5,2,3,18,4,,2,13
390,,188,5,1,2,3,15,8,,2,13
391,,188,6,1,2,3,08,8,,2,13
392,,405,4,1,2,2,10,7,,1,13
393,,420,2,8,2,5,10,2,,2,13
394,,188,3,1,1,4,10,8,,2,13
395,,206,4,1,2,5,10,8,,1,13
396,,104,6,1,2,2,10,8,,1,13
397,,304,4,1,2,3,10,7,,1,13
398,,188,6,7,2,4,10,8,,1,13
399,,188,5,1,2,4,10,7,,2,13
400,,188,3,7,1,4,10,7,,2,13
401,,188,2,7,1,3,10,6,,2,13
402,,412,3,1,1,3,10,6,,1,13
403,,388,6,1,1,2,10,7,,1,13
404,,110,5,1,2,2,10,6,,2,13
405,,105,3,7,2,2,10,8,,1,13
406,,188,4,1,1,4,10,7,,2,13
407,,105,5,1,2,4,10,12,,2,13
408,,188,6,1,1,3,10,8,,1,13
409,,130,4,7,2,4,10,6,,2,13
410,,115,4,5,2,4,10,6,,2,13
411,,188,6,7,1,2,10,8,,1,13
412,,288,5,5,2,2,10,8,,2,13
413,,114,5,7,2,3,10,6,,1,13
414,,104,5,1,2,2,10,6,,1,13
415,,401,3,5,2,4,10,10,,1,13
416,,188,6,7,1,3,12,8,,1,13
417,,188,4,1,1,3,12,8,,1,13
418,,130,2,8,2,5,12,6,,1,13
419,,788,5,2,1,3,12,9,,2,13
420,,188,4,8,2,1,12,8,,1,13
421,,108,4,8,2,4,12,10,,2,13
422,,388,4,2,1,2,12,6,,1,13
423,,188,5,1,1,2,12,8,,1,13
424,,188,4,7,2,4,11,8,,1,13
425,,188,4,1,2,2,11,7,,2,13
426,,106,5,1,1,1,11,7,,2,13
427,,104,6,1,2,1,10,7,,1,13
428,,115,5,1,2,2,11,7,,2,13
429,,288,6,5,2,4,11,8,,2,13
430,,288,4,1,1,3,10,6,,2,13
431,,188,5,6,2,3,11,6,,1,13
432,,125,4,1,1,2,11,6,,1,13
433,,105,3,7,2,4,11,9,,1,13
434,001,102,4,7,1,4,17,7,,1,13
